"animals,month,unit,geo\time";2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969
"A3110,M04,THS_HD,AT";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"970.8 ";"1083.1 ";"1057.8 ";"1032.7 ";"1093.5 ";"1075.9 ";"1164.7 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3110,M04,THS_HD,BE";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"1810.7 ";"1953.3 ";"2076.6 ";"2177.6 ";"2162.2 ";"1987.3 ";"2000.9 ";"2011.3 ";"2006.9 ";"1903.5 ";"1902.6 ";"1722.3 ";"1960.8 ";"1805.0 ";"1851.0 ";"1685.0 ";"1553.2 ";"1585.9 ";"1475.0 ";"1507.7 ";"1449.0 ";"1491.4 ";"1537.5 ";"1503.0 ";"1476.0 ";"1528.0 ";"1439.0 ";"1393.0 ";"1610.0 ";"1418.0 ";"0.0 ";"0.0 ";"0.0 ";"0.0 "
"A3110,M04,THS_HD,CZ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"710.9 ";"883.5 ";"882.0 ";"881.0 ";"1002.0 ";"1043.0 ";"1082.0 ";"1060.0 ";"1099.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3110,M04,THS_HD,DE";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"6776.2 ";"6545.0 ";"6451.2 ";"6753.0 ";"6853.8 ";"7438.5 ";"7349.2 ";"7468.1 ";"7479.2 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3110,M04,THS_HD,DK";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"4100.0 p";"4652.0 ";"4212.0 ";"4358.0 ";"4366.0 ";"4260.0 ";"4252.0 ";"4128.0 ";"3747.0 ";"3687.0 ";"3691.0 ";"3539.0 ";"3397.0 ";"3443.0 ";"3289.0 ";"3321.0 ";"3239.0 ";"3029.0 ";"3011.0 ";"3053.0 ";"2952.0 ";"3029.0 ";"3032.0 ";"2952.0 ";"2907.0 ";"3164.0 ";"3073.0 ";"3157.0 ";"3194.0 ";"3120.0 ";"2931.0 ";"2766.0 ";"2758.0 ";"2737.0 ";"2731.0 ";"0.0 ";": ";": ";": ";": "
"A3110,M04,THS_HD,EL";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"288.9 ";"347.5 ";"353.0 ";"346.0 ";"358.0 ";"356.7 ";"399.7 ";"420.0 ";"389.6 ";"389.7 ";"393.6 ";"398.5 ";"433.0 ";"443.5 ";"439.8 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3110,M04,THS_HD,ES";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"6463.8 ";"6824.7 ";"6302.9 ";"7414.4 ";"7342.8 ";"6595.3 ";"6719.3 ";"6253.0 ";"6337.5 ";"6096.0 ";"5953.0 ";"5582.0 ";"5229.0 ";"5604.0 ";"5500.0 ";"4884.5 ";"4936.3 ";"4955.6 ";"5069.4 ";"4830.6 ";"4820.8 ";"4615.0 ";"3670.6 ";"2881.2 ";"3171.5 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3110,M04,THS_HD,FI";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"471.2 ";"495.5 ";"441.2 ";"466.8 ";"450.3 ";"451.7 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3110,M04,THS_HD,FR";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"3835.1 ";"3755.2 ";"3631.6 ";"3641.0 ";"3529.7 ";"3286.3 ";"3108.0 ";"2993.0 ";"2951.0 ";"2801.0 ";"2693.0 ";"3087.0 ";"2799.9 ";"2710.0 ";"2860.0 ";"3059.0 ";"3174.0 ";"2930.0 ";"3095.0 ";"2958.0 ";"3154.0 ";"2946.0 ";"2990.0 ";"2963.0 ";"3243.0 ";"3210.0 ";"3490.0 ";"3210.0 ";"3217.0 ";"3132.0 "
"A3110,M04,THS_HD,HU";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"930.0 ";"1134.0 ";"1052.0 ";"1069.0 ";"1140.0 ";"1447.0 ";"1517.0 ";"1402.0 ";"1263.0 ";"1395.0 ";"1321.0 ";"1280.0 ";"1318.0 ";"1157.0 ";"1148.0 ";"1373.0 ";"1486.0 ";"1861.0 ";"2140.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
