"animals,month,unit,geo\time";2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969
"A3120K,M04,THS_HD,AT";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"235.0 ";"251.7 ";"246.2 ";"242.9 ";"249.1 ";"236.0 ";"243.1 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3120K,M04,THS_HD,BE";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"497.0 ";"520.5 ";"543.2 ";"555.6 ";"564.8 ";"538.0 ";"546.4 ";"536.2 ";"541.1 ";"535.4 ";"514.1 ";"509.5 ";"527.3 ";"496.0 ";"501.0 ";"469.0 ";"440.4 ";"423.1 ";"410.0 ";"427.5 ";"402.0 ";"417.0 ";"414.1 ";"410.3 ";"413.0 ";"406.0 ";"393.0 ";"384.0 ";"425.0 ";"387.0 ";"0.0 ";"0.0 ";"0.0 ";"0.0 "
"A3120K,M04,THS_HD,BG";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"236.0 ";": ";"187.0 ";"265.0 ";"295.0 ";"376.0 ";"373.0 ";"367.0 ";"335.0 ";"325.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3120K,M04,THS_HD,CZ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"158.1 ";"206.2 ";"209.0 ";"214.0 ";"220.0 ";"252.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3120K,M04,THS_HD,DE";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"1824.0 ";"1733.3 ";"1700.1 ";"1760.8 ";"1845.5 ";"1968.9 ";"1950.4 ";"1965.7 ";"0.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3120K,M04,THS_HD,DK";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"798.0 p";"890.0 ";"829.0 ";"874.0 ";"877.0 ";"867.0 ";"876.0 ";"859.0 ";"783.0 ";"802.0 ";"795.0 ";"768.0 ";"742.0 ";"751.0 ";"724.0 ";"733.0 ";"730.0 ";"668.0 ";"671.0 ";"659.0 ";"645.0 ";"650.0 ";"669.0 ";"639.0 ";"602.0 ";"629.0 ";"637.0 ";"642.0 ";"673.0 ";"660.0 ";"620.0 ";"569.0 ";"568.0 ";"533.0 ";"567.0 ";"0.0 ";": ";": ";": ";": "
"A3120K,M04,THS_HD,EL";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"92.4 ";"90.4 ";"92.0 ";"80.0 ";"76.1 ";"95.5 ";"106.8 ";"96.0 ";"95.6 ";"94.0 ";"94.0 ";"91.0 ";"108.0 ";"108.2 ";"134.2 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3120K,M04,THS_HD,ES";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"1674.3 ";"1917.0 ";"1750.8 ";"1716.9 ";"1713.9 ";"1673.9 ";"1699.5 ";"1600.0 ";"1570.4 ";"1620.0 ";"1580.0 ";"1432.0 ";"1350.0 ";"1415.0 ";"1384.0 ";"1434.5 ";"1284.8 ";"1210.3 ";"1213.2 ";"1140.3 ";"1266.5 ";"1242.0 ";"838.4 ";"1010.7 ";"1082.3 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3120K,M04,THS_HD,FI";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"131.0 ";"134.6 ";"131.6 ";"131.4 ";"113.3 ";"113.4 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3120K,M04,THS_HD,FR";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"1082.6 ";"1049.7 ";"1029.5 ";"982.7 ";"940.3 ";"883.5 ";"844.3 ";"780.0 ";"737.0 ";"724.0 ";"702.0 ";"767.0 ";"712.0 ";"698.0 ";"702.0 ";"734.0 ";"740.0 ";"729.0 ";"719.0 ";"696.0 ";"729.0 ";"745.0 ";"819.0 ";"851.0 ";"803.0 ";"767.0 ";"770.0 ";"729.0 ";"719.0 ";"690.0 "
