"animals,month,unit,geo\time";2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969
"A3132X,M04,THS_HD,AT";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"678.4 ";"707.1 ";"700.6 ";"670.6 ";"713.4 ";"724.4 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132X,M04,THS_HD,BE";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"1340.6 ";"1483.8 ";"1514.7 ";"1479.6 ";"1480.9 ";"1388.1 ";"1536.3 ";"1428.0 ";"1485.7 ";"1550.0 ";"1496.9 ";"1401.1 ";"1361.6 ";"1340.0 ";"1320.0 ";"1161.0 ";"1265.3 ";"1054.0 ";"1130.0 ";"997.2 ";"1035.0 ";"944.3 ";"1138.8 ";"1022.0 ";"1046.0 ";"995.0 ";"975.0 ";"991.0 ";"1064.0 ";"997.0 ";"0.0 ";"0.0 ";"0.0 ";"0.0 "
"A3132X,M04,THS_HD,CZ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"467.0 ";"534.0 ";"515.0 ";"540.0 ";"540.0 ";"592.0 ";"572.0 ";"565.0 ";"577.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132X,M04,THS_HD,DE";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"5020.8 ";"4889.0 ";"4737.8 ";"4908.3 ";"5277.2 ";"5364.7 ";"5355.5 ";"5730.2 ";"6633.8 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132X,M04,THS_HD,DK";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"2732.0 p";"2867.0 ";"2739.0 ";"2897.0 ";"2798.0 ";"2626.0 ";"2866.0 ";"2858.0 ";"2645.0 ";"2640.0 ";"2492.0 ";"2381.0 ";"2290.0 ";"2302.0 ";"2264.0 ";"2188.0 ";"2126.0 ";"2010.0 ";"1909.0 ";"1970.0 ";"1865.0 ";"1822.0 ";"2067.0 ";"1982.0 ";"1893.0 ";"1968.0 ";"2003.0 ";"2181.0 ";"2133.0 ";"1955.0 ";"1756.0 ";"1681.0 ";"1634.0 ";"1690.0 ";"1706.0 ";"0.0 ";": ";": ";": ";": "
"A3132X,M04,THS_HD,EL";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"160.5 ";"200.8 ";"183.0 ";"161.0 ";"183.2 ";"174.4 ";"185.0 ";"180.0 ";"181.5 ";"166.3 ";"174.9 ";"150.1 ";"178.0 ";"132.8 ";"221.8 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132X,M04,THS_HD,ES";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"4801.6 ";"5117.4 ";"5002.4 ";"4456.3 ";"4723.0 ";"4624.0 ";"4596.7 ";"4320.0 ";"5052.5 ";"3836.0 ";"4111.0 ";"3695.0 ";"3473.0 ";"3554.0 ";"3415.0 ";"3296.8 ";"3768.4 ";"3068.6 ";"3232.1 ";"3164.5 ";"3565.0 ";"3341.0 ";"3414.9 ";"2282.1 ";"2337.1 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132X,M04,THS_HD,FI";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"357.0 ";"341.5 ";"300.4 ";"323.7 ";"234.0 ";"234.9 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132X,M04,THS_HD,FR";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"3051.2 ";"2914.6 ";"2822.8 ";"2890.2 ";"2849.1 ";"2584.0 ";"2522.6 ";"2308.0 ";"2349.0 ";"2262.0 ";"2254.0 ";"2161.0 ";"2042.9 ";"1908.0 ";"2238.0 ";"2103.0 ";"2256.0 ";"2333.0 ";"2443.0 ";"2184.0 ";"2073.0 ";"1887.0 ";"2296.0 ";"2147.0 ";"2132.0 ";"2042.0 ";"2420.0 ";"2648.0 ";"2305.0 ";"1930.0 "
"A3132X,M04,THS_HD,HU";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"691.0 ";"675.0 ";"642.0 ";"657.0 ";"722.0 ";"843.0 ";"786.0 ";"751.0 ";"845.0 ";"904.0 ";"838.0 ";"838.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
