"animals,month,unit,geo\time";2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969
"A3132Y,M04,THS_HD,AT";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"488.2 ";"506.5 ";"474.1 ";"449.6 ";"478.3 ";"467.1 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Y,M04,THS_HD,BE";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"1123.9 ";"1073.4 ";"1167.3 ";"1225.2 ";"1223.6 ";"1143.0 ";"1103.7 ";"1048.0 ";"1046.7 ";"945.0 ";"971.9 ";"875.8 ";"1071.8 ";"953.0 ";"817.0 ";"695.0 ";"712.3 ";"900.3 ";"743.0 ";"748.2 ";"656.0 ";"599.7 ";"598.5 ";"625.0 ";"590.0 ";"509.0 ";"617.0 ";"499.0 ";"645.0 ";"478.0 ";"0.0 ";"0.0 ";"0.0 ";"0.0 "
"A3132Y,M04,THS_HD,CZ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"393.5 ";"406.0 ";"420.0 ";"411.0 ";"469.0 ";"495.0 ";"459.0 ";"442.0 ";"501.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Y,M04,THS_HD,DE";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"3891.6 ";"3873.0 ";"3568.3 ";"3618.7 ";"3769.9 ";"3695.6 ";"3654.5 ";"3935.6 ";"4483.7 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Y,M04,THS_HD,DK";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"683.0 p";"717.0 ";"685.0 ";"724.0 ";"700.0 ";"657.0 ";"717.0 ";"714.0 ";"661.0 ";"660.0 ";"623.0 ";"595.0 ";"572.0 ";"576.0 ";"566.0 ";"547.0 ";"532.0 ";"503.0 ";"477.0 ";"493.0 ";"466.0 ";"455.0 ";"568.0 ";"651.0 ";"462.0 ";"481.0 ";"445.0 ";"423.0 ";"375.0 ";"362.0 ";"350.0 ";"297.0 ";"318.0 ";"317.0 ";"331.0 ";"0.0 ";": ";": ";": ";": "
"A3132Y,M04,THS_HD,EL";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"85.7 ";"91.4 ";"102.0 ";"78.0 ";"84.2 ";"100.7 ";"93.8 ";"100.0 ";"100.2 ";"69.8 ";"76.4 ";"60.6 ";"76.0 ";"71.1 ";"99.7 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Y,M04,THS_HD,ES";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"3975.4 ";"4771.1 ";"4315.5 ";"3803.1 ";"3485.5 ";"3366.3 ";"3155.7 ";"3019.0 ";"3152.1 ";"2467.0 ";"2577.0 ";"2619.0 ";"2540.0 ";"2608.0 ";"2168.0 ";"2323.7 ";"2053.7 ";"1681.1 ";"1742.1 ";"1767.2 ";"1950.7 ";"1643.0 ";"1508.0 ";"1006.0 ";"1030.1 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Y,M04,THS_HD,FI";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"173.3 ";"163.5 ";"190.1 ";"170.5 ";"112.8 ";"113.4 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Y,M04,THS_HD,FR";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"2464.8 ";"2353.4 ";"2175.5 ";"2294.8 ";"2281.4 ";"2098.2 ";"1842.3 ";"1833.0 ";"1916.0 ";"1799.0 ";"1763.0 ";"1582.0 ";"1576.4 ";"1395.0 ";"1514.0 ";"1526.0 ";"1576.0 ";"1579.0 ";"1725.0 ";"1453.0 ";"1507.0 ";"1630.0 ";"1752.0 ";"1813.0 ";"1453.0 ";"1406.0 ";"1060.0 ";"1055.0 ";"1011.0 ";"760.0 "
"A3132Y,M04,THS_HD,HU";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"575.0 ";"618.0 ";"555.0 ";"567.0 ";"643.0 ";"748.0 ";"697.0 ";"641.0 ";"811.0 ";"777.0 ";"707.0 ";"709.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Y,M04,THS_HD,IE";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"137.8 ";"129.0 ";"113.6 ";"108.3 ";"97.8 ";"90.0 ";"95.6 ";"75.0 ";"67.7 ";"68.0 ";"67.1 ";"65.8 ";"69.2 ";"77.5 ";"75.4 ";"71.7 ";"60.8 ";"81.4 ";"85.2 ";"71.8 ";"81.4 ";"63.5 ";"61.3 ";"81.8 ";"0.0 ";": ";": ";": ";": "
"A3132Y,M04,THS_HD,IT";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"1030.0 ";"960.0 ";"983.0 ";"1022.0 ";"1074.3 ";"1077.0 ";"1096.1 ";"1126.0 ";"1118.0 ";"1234.5 ";"1180.8 ";"1169.4 ";"1158.8 ";"977.0 ";"980.4 ";"981.0 ";"957.0 ";"946.7 ";"947.9 ";"985.2 ";"1015.0 ";"974.0 ";"919.0 ";"735.0 ";"730.0 ";"686.0 ";"571.0 ";"761.0 ";"754.0 ";"657.0 "
"A3132Y,M04,THS_HD,LU";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";7-May;7-May;7-Mar;6-Jun;"8.0 ";6-Jan;7-Apr;7-Mar;7-Jul;4-May;4-Jun;4-Jul;"5.0 ";5-Jul;5-Sep;6-Mar;5-Sep;"6.0 ";"6.0 ";"5.0 ";"5.0 ";"6.0 ";"7.0 ";"9.0 ";"11.0 ";"9.0 ";"10.0 "
"A3132Y,M04,THS_HD,MT";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";8-Mar;8-Jul;12-Feb;12-Aug;"11.0 ";9-Jul;12-Apr;10-Feb;9-Sep;10-May;10-Feb;9-Mar;8-Feb;8-Mar;": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Y,M04,THS_HD,NL";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"1460.0 ";"1430.0 ";"1450.0 ";"1423.7 ";"1308.1 ";"1292.0 ";"1384.0 ";"1590.0 ";"1528.0 ";"1600.0 ";"1520.0 ";"1763.0 ";"1869.0 ";"1862.6 ";"1795.0 ";"1608.0 ";"1777.0 ";"1685.0 ";"1610.0 ";"1642.0 ";"1662.0 ";"1539.0 ";"1405.0 ";"1368.0 ";"1232.0 ";"1167.0 ";"1075.0 ";"1177.0 ";"1110.0 ";"1092.0 ";"917.0 ";"869.0 ";"677.0 ";"715.0 ";"660.0 ";"647.0 ";"579.0 ";"493.0 ";"489.0 ";"359.0 "
"A3132Y,M04,THS_HD,PL";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"2230.8 p";"2490.1 ";"2410.0 ";"2275.4 ";"2312.8 ";"2431.8 ";"2258.9 ";"2142.4 ";"2261.8 ";"2438.9 ";"2362.3 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Y,M04,THS_HD,PT";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"163.8 ";"163.8 ";"198.0 ";"188.0 ";"153.0 ";"169.0 ";"161.0 ";"143.0 ";"127.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Y,M04,THS_HD,RO";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"384.3 p";"463.3 ";"359.7 ";"405.7 ";"390.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Y,M04,THS_HD,SE";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"349.0 ";"356.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Y,M04,THS_HD,SI";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"72.2 ";"67.0 ";"68.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Y,M04,THS_HD,SK";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"217.6 ";"240.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Y,M04,THS_HD,UK";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"801.5 ";"882.8 ";"956.4 ";"817.9 ";"730.4 ";"397.8 ";"666.2 ";"640.4 ";"379.2 ";"648.2 ";"614.6 ";"619.9 ";"625.6 ";"620.1 ";"611.8 ";"629.3 ";"665.0 ";"657.8 ";"647.1 ";"621.4 ";"680.0 ";"646.0 ";"648.0 ";"680.0 ";"627.0 ";"714.0 ";"0.0 ";": ";": ";": ";": "
"A3132Y,M05_M06,THS_HD,AT";"421.42 ";"427.42 ";"408.02 ";"416.43 ";"435.82 ";"430.49 ";"445.24 ";"457.74 ";"480.75 ";"485.84 ";"480.67 ";"472.66 ";"471.15 ";"435.61 ";"446.48 ";"455.61 ";"464.30 ";"455.94 ";"440.34 ";"459.33 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Y,M05_M06,THS_HD,BE";"1242.37 ";"1266.42 ";"1304.25 ";"1211.69 ";"1231.33 ";"1295.69 ";"1342.92 ";"1319.54 ";"1232.77 ";"1203.06 ";"1181.38 ";"1139.79 ";"1133.62 ";"1138.19 ";"1156.98 ";"1090.69 ";"1129.84 ";"1148.27 ";"1169.48 ";"1140.06 ";"1219.63 ";"1142.18 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Y,M05_M06,THS_HD,BG";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"130.00 ";": ";"123.40 ";"142.00 ";"68.60 ";"96.00 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Y,M05_M06,THS_HD,CZ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"458.00 ";"415.00 ";"455.00 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Y,M05_M06,THS_HD,DE";"4981.40 ";"5190.60 ";"5193.65 ";"5271.47 ";"5359.32 e";"5223.58 ";"5262.35 ";"5165.98 ";"4925.61 ";"4882.91 ";"5104.15 ";"4850.39 ";"4779.39 ";"4408.49 ";"4405.03 ";"4227.48 ";"4540.27 ";"4229.77 ";"4314.03 ";"4270.87 ";"4317.32 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
