"animals,month,unit,geo\time";2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969
"A3132Z,M04,THS_HD,AT";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"60.2 ";"48.2 ";"45.3 ";"44.4 ";"42.7 ";"40.2 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M04,THS_HD,BE";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"63.3 ";"72.6 ";"83.7 ";"76.9 ";"72.8 ";"58.8 ";"63.0 ";"52.3 ";"39.6 ";"55.9 ";"50.4 ";29-Apr;"43.0 ";"22.0 ";"21.0 ";"20.0 ";"9.0 ";"126.6 ";"34.0 ";6-Feb;"7.0 ";13-Aug;13-Jun;18-Aug;"13.0 ";"13.0 ";"14.0 ";"15.0 ";"0.0 ";"0.0 ";"0.0 ";"0.0 ";"0.0 ";"0.0 "
"A3132Z,M04,THS_HD,CZ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"50.1 ";"62.4 ";"63.0 ";"55.0 ";"64.0 ";"65.0 ";"63.0 ";"81.0 ";"86.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M04,THS_HD,DE";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"371.4 ";"355.8 ";"295.3 ";"284.6 ";"313.8 ";"244.1 ";"223.0 ";"333.0 ";"608.7 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M04,THS_HD,DK";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"10.0 p";"10.0 ";"10.0 ";"11.0 ";"10.0 ";"9.0 ";"11.0 ";"21.0 ";"11.0 ";"11.0 ";"10.0 ";"11.0 ";"10.0 ";"10.0 ";"12.0 ";"13.0 ";"11.0 ";"13.0 ";"12.0 ";"12.0 ";"15.0 ";"14.0 ";"15.0 ";"18.0 ";"15.0 ";"19.0 ";"18.0 ";"20.0 ";"25.0 ";"29.0 ";"30.0 ";"28.0 ";"26.0 ";"34.0 ";"32.0 ";"0.0 ";": ";": ";": ";": "
"A3132Z,M04,THS_HD,EL";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"7.0 ";10-Jan;"9.0 ";"4.0 ";9-May;13-May;9-Feb;"8.0 ";20-Jan;3-Sep;5-Aug;3-Mar;"5.0 ";8-Feb;13-Sep;": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M04,THS_HD,ES";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"1097.7 ";"910.9 ";"963.2 ";"1188.4 ";"735.3 ";"715.8 ";"694.1 ";"686.0 ";"320.7 ";"505.0 ";"314.0 ";"236.0 ";"233.0 ";"203.0 ";"237.0 ";"331.3 ";"262.7 ";"173.8 ";"171.0 ";"185.2 ";"142.1 ";"108.0 ";"110.9 ";"76.5 ";"78.3 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M04,THS_HD,FI";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";14-Sep;13-Jul;14-Apr;14-Jan;13-Apr;13-Jan;": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M04,THS_HD,FR";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"359.7 ";"305.8 ";"313.0 ";"272.9 ";"264.6 ";"224.7 ";"191.4 ";"203.0 ";"189.0 ";"165.0 ";"204.0 ";"147.0 ";"173.4 ";"168.0 ";"166.0 ";"170.0 ";"173.0 ";"172.0 ";"170.0 ";"195.0 ";"187.0 ";"166.0 ";"254.0 ";"227.0 ";"375.0 ";"356.0 ";"170.0 ";"165.0 ";"157.0 ";"149.0 "
"A3132Z,M04,THS_HD,HU";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"202.0 ";"239.0 ";"214.0 ";"265.0 ";"268.0 ";"332.0 ";"268.0 ";"250.0 ";"273.0 ";"337.0 ";"238.0 ";"212.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
